,x,x1
0,1.4452377623542123,7587
1,1.4779925156800644,3757
2,9.999726188473852,4114
3,8.274681204831914,4244
4,7.245677753526114,6454
5,1.9051083046358064,2831
6,6.578536695966245,3793
7,7.146488286513161,2341
8,5.558282436776394,2162
9,8.948764216419379,6170
10,7.533086606797896,3000
11,9.153053594622403,2856
12,4.554525090314621,45
13,5.573883789659684,8084
14,6.801142455326033,5799
15,3.1337524160008803,5913
16,1.9225888841325578,1596
17,9.094232551149972,1495
18,4.933715896589001,8636
19,3.8231116905961358,9008
20,2.7751575073051282,7158
21,3.3432617385741112,5802
22,7.2873330411104735,5849
23,4.759952642299016,8065
24,6.235591452525636,1721
25,9.528788065823534,9602
26,3.656668427529297,367
27,4.042762914158397,62
28,0.8062127806580754,1064
29,2.994065839074608,3736
30,4.994761809984029,5053
31,8.356317223738696,8891
32,7.62175212256733,9539
33,8.820452704415446,1156
34,1.1054780001187348,7755
35,6.077303528951625,8532
36,0.8503479727123753,429
37,5.769682879527157,7579
38,9.465451084714857,4775
39,9.919957418185932,5783
40,7.492760498888171,6492
41,9.229628491924615,1786
42,9.12117406218284,6991
43,4.011628747403456,4815
44,8.36176470240219,7083
45,4.951785577065291,3725
46,7.738283052621614,2007
47,6.055811500335581,8142
48,4.145438651875919,4501
49,5.831643529241596,3772
50,6.143472632052314,7475
51,7.475618344844977,9070
52,3.259399193271302,546
53,9.48182589887801,5855
54,3.4296519130537417,1607
55,2.806584778439496,7236
56,4.271291559422243,6266
57,7.45161142885358,7511
58,0.7696436938169482,8232
59,7.912676226707224,1769
60,0.8724172698552513,1889
61,3.5485071426103487,2995
62,4.321664662005755,5110
63,8.558067263807818,5348
64,7.946331517501994,6218
65,1.5430247615051895,1740
66,2.0858381448910466,2925
67,7.462802975374437,1275
68,7.32062384927207,3338
69,1.3305463724939182,7665
70,1.717414494413817,9710
71,6.605211363474147,7461
72,2.223174593814601,3367
73,1.6346265761377277,5732
74,5.354175116088371,9847
75,5.899438540177386,1746
76,1.163681496961314,8876
77,3.2050574764821302,6132
78,6.618358549971481,3387
79,0.15325624651077896,9995
80,5.489411658394998,8342
81,0.4777254445173018,8123
82,3.3719908731206196,2386
83,4.485428894281633,5693
84,0.18175887343231056,6889
85,6.724436054181632,2497
86,3.6114043714934585,9021
87,4.785048632967406,9091
88,7.807195105379504,4218
89,4.289179699604389,5301
90,5.69147794535986,1794
91,7.976122607945436,205
92,5.446209757281926,5103
